FY ,Project Name,Project Address,Project City,Project Zip,Project County,Units,ProjectType
2017,Brookside Station,1618 Swallow Crest Drive,Edgewood,21040,Harford,56,Rehab
2017,The Preserves at Red Run,4626 Painters Mill Road,Owings Mills,21117,Baltimore,87,New
2017,Chestertown Cove Apartments,408 Morgnec Road,Chestertown,21620,Kent,34,Rehab
2017,New Shiloh Village Apartments,1931 Windsor Avenue,Baltimore,21217,Baltimore City,73,New
2017,Metro Heights at Mondawmin,2700 Reisterstown Road,Baltimore,21075,Baltimore City,70,New
2017,520 North Market Street Apartments,520 North Market Street,Frederick,21701,Frederick,59,New
2017,Greenwood Village Apartments,1001 Cosby Avenue,Cambridge,21613,Dorchester,20,Rehab
2017,Galloway Meadows,29418 Matthewstown Street,Easton,21061,Talbot,72,New
2017,East Baltimore Historic III,1710 East Preston Street,Baltimore,21213,Baltimore City,47,Rehab
2017,Bealls Grant,254 N. Washington Street,Rockville,20850,Montgomery,74,Rehab
2017,HELP Perry Point,Perry Point VA Hospital,Perryville,21902,Cecil,75,New
2017,Westminister House Apartments,524 N. Charles Street,Baltimore,21201,Baltimore City,283,Rehab
2017,Golden Ring Cooperative,8620 Kelso Drive,Essex,21221,Baltimore,153,Rehab
2017,The Ellerslie,601 Wyanoke Avenue,Baltimore,21218,Baltimore City,117,Rehab
2017,Sojourner Place at Argyle,1411 Argyle Avenue,Baltimore,21217,Baltimore City,12,New
2017,Govans Manor,5220 York Road,Baltimore,21212,Baltimore City,191,Rehab
2017,Riveria Apartments,901 Druid Park Lake Drive,Baltimore,21217,Baltimore City,55,Rehab
2017,Alexander House (TC only),8560 2nd Avenue,Silver Spring,20910,Montgomery,122,Rehab
2017,Towns @ Woodfield,7301 Dogwood Road,Baltimore,21244,Baltimore,61,New
2017,Park Tanglewood (TC Only),5309 Riverdale Road,Riverdale,20737,Prince George's,180,Rehab
2018,Bethel Gardens Apartments,356 Henry Avenue,Hagerstown,21740,Washington,94,Rehab
2018,Bolton North,1600 West Mount Royal Ave,Baltimore,21217,Baltimore City,209,Rehab
2018,Angles Watch,,,20601,Charles,30,New
2018,House of Freedom,,Baltimore,21202,Baltimore City,210,Rehab
2018,Warwick Apartments,300 n. Warwick Avenue,Baltimore,21223,Baltimore City,80,New
2018,Woodfield Commons,Woodfield Rd and High Corner S,Damascus,20872,Montgomery,84,New
2018,Greenhills Apartments,10572 Tralee Terrrace,Damascus,20872,Montgomery,77,Rehab
2018,Glenarden Phase I,8405 Hamlin Street,Lanham,20706,Prince George's,114,New
2018,Hopewell Station,11341 CICI Way,Hagerstown,21740,Washington,60,New
2018,L on Liberty,208 N. Liberty Street,Baltimore,21201,Baltimore City,71,New
2018,Scotland Townhomes,7800 Scotland Drive,Potomac,20854,Montgomery,75,Rehab
2018,Shalom Square,6240 Foreland Garth,Columbia,21045,Howard,50,Rehab
2018,Hillside Park Apartments,4902 Parkton Court,Baltimore,21229,Baltimore City,94,Rehab
2018,Riverfront Townhomes,220 Swale Avenue,Baltimore,21225,Baltimore City,126,Rehab
2018,Elk River Manor,301 Elk River Manor Drive,North East,21901,Cecil,55,Rehab
2018,Park View at Aspen Hill,3136 Bel Pre Road,Aspen Hill,20906,Montgomery,120,New
2018,Lex Woods Apartments,21284 Lexwood Court,Lexington Park,20653,St. Mary's,78,Rehab
2018,Patuxent Crossing Apts. (FKA Queen Anne Park Rehab),21691 Eric Road,Lexington Park,20653,St. Mary's,102,Rehab
2018,Zion Apartments,1100 Pennsylvania Avenue,Baltimore,21210,Baltimore City,210,Rehab
2018,Adams Crossing Apartments Phase 3,12730 & 12380 Mt. Clare Place,Waldorf,20601,Charles,48,New
2018,Parkview Manor,5034 38th Street,Hyattsville,20782,Prince George's,53,Rehab
2018,The Village of Lakeview,833 Fishermans Lane,Edgewood,21040,Harford,223,Rehab
2018,Freetown Village Apartments,7820 Darrell Henry Court,Pasadena,21122,Anne Arundel,189,Rehab
